Unnamed: 0,powerPlay,AverageScore,battingTeam,bowlingTeam,city,delivery_left,score,CurrentRunRate,wicketsLeft,Run_In_Last5,Wickets_In_Last5,Final_Score,innings
10400,0,138.1627906976744,New Zealand,Pakistan,Dubai,63,56,5.894736842105263,8,24.0,2.0,144,1
163545,0,103.0,Zimbabwe,Sri Lanka,Hambantota,40,76,5.7,5,30.0,2.0,100,2
1557,0,154.0,West Indies,Australia,St Lucia,53,68,6.089552238805971,5,27.0,3.0,105,1
94589,0,146.28571428571428,Australia,India,Bengaluru,18,159,9.352941176470589,7,50.0,0.0,194,2
119086,0,135.609756097561,Sri Lanka,South Africa,Colombo,42,82,6.307692307692308,7,38.0,1.0,135,2
29910,0,153.14285714285714,South Africa,Sri Lanka,Colombo,65,70,7.636363636363637,10,39.0,0.0,163,1
44482,0,152.8,England,Pakistan,London,18,157,9.235294117647058,5,42.0,3.0,185,1
92737,0,119.2,India,West Indies,Lauderhill,45,145,11.6,7,51.0,1.0,244,2
155629,1,130.42857142857142,Ireland,India,Dublin,91,30,6.206896551724138,9,30.0,1.0,132,2
91955,0,162.0,Afghanistan,Netherlands,Edinburgh,7,145,7.6991150442477885,6,58.0,1.0,162,1
33270,0,169.58823529411765,Sri Lanka,Bangladesh,Pallekele,13,166,9.308411214953273,5,57.0,1.0,198,1
118502,0,135.609756097561,Sri Lanka,Bangladesh,Colombo,41,99,7.518987341772152,4,40.0,1.0,131,2
123271,0,147.11764705882354,West Indies,Sri Lanka,Pallekele,44,137,10.81578947368421,5,51.0,2.0,185,2
28819,0,153.14285714285714,India,Sri Lanka,Colombo,51,76,6.608695652173913,9,28.0,1.0,132,1
172346,0,132.0,West Indies,India,Jamaica,53,106,9.492537313432836,9,32.0,1.0,194,2
69787,0,142.375,England,South Africa,Cardiff,54,99,9.0,9,52.0,0.0,181,1
57473,0,163.23076923076923,Australia,India,Sydney,78,52,7.428571428571429,10,36.0,0.0,164,1
71680,0,181.5,England,New Zealand,Christchurch,15,166,9.485714285714286,6,54.0,0.0,193,1
153187,1,148.54545454545453,Pakistan,South Africa,Lahore,84,51,8.5,10,46.0,0.0,169,2
142110,0,130.3448275862069,India,South Africa,Mirpur,8,171,9.160714285714285,6,58.0,2.0,176,2
160953,0,145.33333333333334,Sri Lanka,England,Delhi,22,133,8.142857142857144,5,58.0,1.0,161,2
56633,0,159.33333333333334,England,Pakistan,Bristol,53,71,6.358208955223881,6,30.0,1.0,144,1
62662,1,174.5,Netherlands,Ireland,Al Amarat,85,73,12.514285714285714,10,65.0,0.0,182,1
144485,0,141.92307692307693,Australia,West Indies,Sydney,81,90,13.846153846153848,10,62.0,0.0,142,2
111628,0,138.07142857142858,Pakistan,Australia,Harare,52,92,8.117647058823529,7,44.0,0.0,187,2
80573,1,130.71428571428572,South Africa,Sri Lanka,Hambantota,84,65,10.833333333333334,8,52.0,1.0,78,1
174668,0,153.0,England,New Zealand,Nelson,28,139,9.065217391304348,7,49.0,1.0,166,2
158731,0,117.0,New Zealand,India,Thiruvananthapuram,78,48,6.857142857142857,4,37.0,4.0,61,2
93381,0,148.91666666666666,South Africa,Pakistan,St Lucia,43,69,5.376623376623376,6,28.0,2.0,137,2
94878,1,146.28571428571428,Australia,Bangladesh,Bengaluru,84,51,8.5,10,41.0,0.0,157,2
92157,0,119.2,Sri Lanka,New Zealand,Lauderhill,48,68,5.666666666666667,8,34.0,1.0,82,2
84636,0,174.16666666666666,India,Pakistan,Ahmedabad,3,186,9.538461538461538,6,69.0,1.0,192,1
101422,1,128.3953488372093,Australia,Pakistan,Dubai,83,40,6.486486486486486,8,30.0,2.0,97,2
90077,0,179.33333333333334,South Africa,Ireland,Belfast,26,128,8.170212765957448,9,56.0,1.0,189,1
119898,0,135.609756097561,Bangladesh,Sri Lanka,Colombo,45,97,7.76,7,29.0,1.0,160,2
33204,0,169.58823529411765,Sri Lanka,Bangladesh,Pallekele,74,75,9.782608695652174,9,42.0,0.0,198,1
166372,0,91.5,South Africa,India,Cuttack,39,71,5.25925925925926,7,20.0,0.0,96,2
22193,0,157.21428571428572,Zimbabwe,Bangladesh,Harare,61,77,7.830508474576271,8,35.0,1.0,166,1
1902,0,154.0,Pakistan,Bangladesh,St Lucia,71,65,7.959183673469388,10,36.0,0.0,172,1
87029,0,169.6,England,Australia,Birmingham,46,141,11.432432432432432,7,55.0,3.0,221,1
133361,1,146.15384615384616,Australia,India,Durban,86,37,6.529411764705882,9,32.0,1.0,173,2
92263,0,119.2,New Zealand,West Indies,Lauderhill,42,99,7.615384615384615,6,34.0,2.0,153,2
163686,1,103.0,Sri Lanka,South Africa,Hambantota,87,38,6.909090909090909,8,34.0,2.0,123,2
26847,0,146.14285714285714,Afghanistan,Pakistan,Sharjah,53,73,6.537313432835822,6,51.0,2.0,137,1
98257,0,149.28571428571428,South Africa,Sri Lanka,Cape Town,30,103,6.866666666666666,7,45.0,0.0,134,2
